function, code1, hexcode1, code2, hexcode2

"3D","sendir,1:1,1,37000,1,1,126,64,16,17,16,49,15,16,16,16,16,16,16,17,15,17,15,17,15,17,15,16,16,16,16,16,16,17,15,49,16,16,16,16,16,17,15,17,15,17,15,17,15,16,16,16,16,16,16,49,15,49,16,17,15,17,15,49,16,16,16,17,16,17,15,17,15,49,16,49,15,49,16,17,16,49,15,49,16,17,15,48,16,16,16,49,15,48,16,49,15,49,16,49,15,17,15,16,16,2721","0000 0070 0000 0032 007E 0040 0010 0011 0010 0031 000F 0010 0010 0010 0010 0010 0010 0011 000F 0011 000F 0011 000F 0011 000F 0010 0010 0010 0010 0010 0010 0011 000F 0031 0010 0010 0010 0010 0010 0011 000F 0011 000F 0011 000F 0011 000F 0010 0010 0010 0010 0010 0010 0031 000F 0031 0010 0011 000F 0011 000F 0031 0010 0010 0010 0011 0010 0011 000F 0011 000F 0031 0010 0031 000F 0031 0010 0011 0010 0031 000F 0031 0010 0011 000F 0030 0010 0010 0010 0031 000F 0030 0010 0031 000F 0031 0010 0031 000F 0011 000F 0010 0010 0AA1",,

"APPS","sendir,1:1,1,37000,1,1,127,64,15,17,15,49,16,16,16,16,15,17,15,17,15,17,15,17,16,17,16,16,16,16,15,17,15,17,15,49,16,16,15,17,15,17,15,18,15,17,16,17,16,16,16,17,15,17,15,49,16,49,15,17,15,17,15,49,15,17,15,17,15,17,15,17,16,49,15,49,16,49,15,49,16,17,16,16,16,16,15,49,16,17,16,49,15,49,16,16,16,17,15,17,15,17,15,18,15,2722","0000 0070 0000 0032 007F 0040 000F 0011 000F 0031 0010 0010 0010 0010 000F 0011 000F 0011 000F 0011 000F 0011 0010 0011 0010 0010 0010 0010 000F 0011 000F 0011 000F 0031 0010 0010 000F 0011 000F 0011 000F 0012 000F 0011 0010 0011 0010 0010 0010 0011 000F 0011 000F 0031 0010 0031 000F 0011 000F 0011 000F 0031 000F 0011 000F 0011 000F 0011 000F 0011 0010 0031 000F 0031 0010 0031 000F 0031 0010 0011 0010 0010 0010 0010 000F 0031 0010 0011 0010 0031 000F 0031 0010 0010 0010 0011 000F 0011 000F 0011 000F 0012 000F 0AA2",,

"AUTO SEARCH","sendir,1:1,1,37000,1,1,128,64,16,16,16,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48,16,48,16,16,16,16,16,48,16,16,16,48,16,16,16,48,16,48,16,16,16,16,16,48,16,16,16,16,16,2765","0000 0070 0000 0032 0080 0040 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0030 0010 0010 0010 0010 0010 0030 0010 0010 0010 0030 0010 0010 0010 0030 0010 0030 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0ACD",,

"BBE","sendir,1:1,1,37000,1,1,128,64,15,15,15,48,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,48,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,48,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,48,15,48,15,48,15,48,15,48,15,48,15,15,15,15,15,48,15,48,15,48,15,48,15,48,15,48,15,48,15,2741","0000 0070 0000 0032 0080 0040 000F 000F 000F 0030 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 0030 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 0030 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 0030 000F 0030 000F 0030 000F 0030 000F 0030 000F 0030 000F 000F 000F 000F 000F 0030 000F 0030 000F 0030 000F 0030 000F 0030 000F 0030 000F 0030 000F 0AB5",,

"CC","sendir,1:1,1,36000,1,1,127,64,15,17,15,48,16,16,16,16,15,17,15,17,15,17,15,16,16,16,16,16,16,17,15,17,15,18,15,48,16,16,16,16,15,17,15,18,15,16,16,16,16,16,16,16,15,17,15,48,16,16,16,16,16,16,15,17,15,17,15,16,16,16,16,16,16,49,15,17,15,48,16,48,15,48,15,17,15,17,15,48,16,48,15,17,15,48,16,49,15,48,16,16,15,17,15,17,15,3783","0000 0073 0000 0032 007F 0040 000F 0011 000F 0030 0010 0010 0010 0010 000F 0011 000F 0011 000F 0011 000F 0010 0010 0010 0010 0010 0010 0011 000F 0011 000F 0012 000F 0030 0010 0010 0010 0010 000F 0011 000F 0012 000F 0010 0010 0010 0010 0010 0010 0010 000F 0011 000F 0030 0010 0010 0010 0010 0010 0010 000F 0011 000F 0011 000F 0010 0010 0010 0010 0010 0010 0031 000F 0011 000F 0030 0010 0030 000F 0030 000F 0011 000F 0011 000F 0030 0010 0030 000F 0011 000F 0030 0010 0031 000F 0030 0010 0010 000F 0011 000F 0011 000F 0EC7",,
